Date,Open,High,Low,Close,Adj Close,Volume,Stock
2023-03-02,1.176,1.176,1.065,1.078,1.078,154046,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2023-03-03,1.002,1.013,0.96,0.998,0.998,140970,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2023-03-06,0.928,0.949,0.877,0.913,0.913,264361,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2023-03-07,0.943,0.99486,0.912,0.9385,0.9385,269887,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2023-03-08,0.991,0.991,0.901,0.9195,0.9195,320215,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2023-03-09,0.937,0.937,0.859,0.879,0.879,494117,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2023-03-10,0.971,1.039,0.929,0.9465,0.9465,447745,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2023-03-13,0.947,1.095,0.934,1.0135,1.0135,301656,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2023-03-14,0.995,1.011,0.852,0.864,0.864,420809,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2023-03-15,0.866,0.94,0.843,0.9315,0.9315,525863,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2023-03-16,0.839,0.88,0.749,0.7605,0.7605,591076,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2023-03-17,0.681,0.696,0.645,0.6805,0.6805,1136617,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2023-03-20,0.713,0.747,0.686,0.698,0.698,338886,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2023-03-21,0.6809,0.84838,0.6462,0.7,0.7,496446,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2023-03-22,0.6665,0.6686,0.5884,0.60865,0.60865,933739,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2023-03-23,0.6049,0.6076,0.5667,0.56895,0.56895,293895,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2023-03-24,0.5871,0.6401,0.5819,0.6334,0.6334,198185,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2023-03-27,0.6164,0.6317,0.5959,0.6251,0.6251,304299,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2023-03-28,0.62,0.6788,0.61071,0.6536,0.6536,179120,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2023-03-29,0.6264,0.6264,0.595,0.6088,0.6088,305509,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2023-03-30,0.5953,0.6027,0.5635,0.57215,0.57215,185666,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2023-03-31,0.5661,0.597,0.5583,0.5694,0.5694,857719,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2023-04-03,0.5639,0.5708,0.533,0.55965,0.55965,416338,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2023-04-04,0.5458,0.61538,0.528,0.55815,0.55815,128256,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2023-04-05,0.5694,0.64,0.5694,0.61975,0.61975,1047495,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2023-04-06,0.6176,0.6335,0.5928,0.60525,0.60525,129347,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2023-04-11,0.56,0.5925,0.5451,0.5761,0.5761,464286,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2023-04-12,0.5894,0.6289,0.5521,0.6108,0.6108,517879,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2023-04-13,0.6233,0.6533,0.6089,0.6157,0.6157,1232140,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2023-04-14,0.628,0.6379,0.6111,0.6149,0.6149,364009,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2023-04-17,0.6101,0.625,0.5964,0.612,0.612,318437,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2023-04-18,0.5736,0.59632,0.5183,0.5335,0.5335,345148,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2023-04-19,0.5595,0.5704,0.5401,0.54325,0.54325,165596,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2023-04-20,0.5427,0.5632,0.5282,0.55075,0.55075,501548,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2023-04-21,0.5554,0.6038,0.5554,0.5831,0.5831,503626,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2023-04-24,0.595,0.603,0.5648,0.5977,0.5977,301937,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2023-04-25,0.5988,0.6139,0.55193,0.6068,0.6068,310846,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2023-04-26,0.588,0.6032,0.564,0.566,0.566,1575459,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2023-04-27,0.561,0.6056,0.5488,0.5889,0.5889,403289,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2023-04-28,0.5603,0.5812,0.55,0.5611,0.5611,1350315,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2023-05-02,0.4777,0.58935,0.4705,0.5021,0.5021,1901530,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2023-05-03,0.5137,0.5368,0.51,0.5251,0.5251,1531420,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2023-05-04,0.5259,0.5446,0.521,0.5332,0.5332,674055,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2023-05-05,0.536,0.5374,0.4833,0.4868,0.4868,608063,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2023-05-09,0.4588,0.51662,0.4511,0.478,0.478,454064,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2023-05-10,0.481,0.4843,0.451,0.4616,0.4616,1060501,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2023-05-11,0.4649,0.491,0.4522,0.4766,0.4766,863980,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2023-05-12,0.4691,0.495,0.4658,0.495,0.495,1033197,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2023-05-15,0.4869,0.4962,0.471,0.4718,0.4718,499826,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2023-05-16,0.464,0.46667,0.4335,0.4298,0.4298,364194,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2023-05-17,0.4397,0.4429,0.418,0.42515,0.42515,85501,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2023-05-18,0.3995,0.4051,0.3434,0.3457,0.3457,1619909,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2023-05-19,0.3403,0.365,0.334,0.35775,0.35775,689444,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
